id,company
26890,PLAYHOUSE INTERNATIONAL PICTURES
46732,FINE LINE FEATURES
124633,MACT PRODUCTIONS
202425,STÉPHAN FILMS
77771,STUDIO KANKOURAMA
181083,DIRECTION DU CINEMA HAUTE VOLTA
41225,COCINOR
87190,INDEPENDENT TELEVISION SERVICE
627,MIRAMAX FILMS
32872,PARAMOUNT PICTURES
602,TWENTIETH CENTURY FOX FILM CORPORATION
14553,FOX SEARCHLIGHT PICTURES
9566,TRISTAR PICTURES
10545,WALT DISNEY PICTURES
9894,COLUMBIA PICTURES CORPORATION
11543,MOTION PICTURE CORPORATION OF AMERICA
9268,KOPELSON ENTERTAINMENT
9327,IMAGINE ENTERTAINMENT
123763,GEA CINEMATOGRÁFICA
81949,CANAL PLUS
183955,FIRST RUN FEATURES
44535,INITIAL PRODUCTIONS
78285,FILMS A2
11228,UNIVERSAL PICTURES
10779,WINGNUT FILMS
26748,CASTLE ROCK ENTERTAINMENT
38223,PARAMOUNT PICTURES
9294,TOUCHSTONE PICTURES
49963,CHANNEL FOUR FILMS
11363,FOX SEARCHLIGHT PICTURES
1645,REGENCY ENTERPRISES
31546,CHANNEL FOUR FILMS
77056,CANAL+
36344,CASTLE ROCK ENTERTAINMENT
18550,METRO-GOLDWYN-MAYER (MGM)
11511,TOUCHSTONE PICTURES
172198,ÚJ BUDAPEST FILMSTUDIÓ
34170,UNITED ARTISTS
124645,BRITISH BROADCASTING CORPORATION (BBC)
12606,PARAMOUNT PICTURES
35206,PRODUCCIONES TEPEYAC
4837,ROME PARIS FILMS
9098,TLA RELEASING
18975,NEW LINE CINEMA
2925,SCOTT RUDIN PRODUCTIONS
28628,KILLER FILMS
3595,TOUCHSTONE PICTURES
9308,TRISTAR PICTURES
92381,ORION PICTURES
18555,RYSHER ENTERTAINMENT
12123,TWENTIETH CENTURY FOX FILM CORPORATION
10830,JERSEY FILMS
3573,MIRAMAX FILMS
10546,MIRAMAX FILMS
18862,METRO-GOLDWYN-MAYER (MGM)
31417,LUX FILM
9431,UNIVERSAL PICTURES
144982,ZETA ENTERTAINMENT
47907,CASTLE ROCK ENTERTAINMENT
10061,PARAMOUNT PICTURES
36266,COFIMAGE 5
549,MIRAMAX
10478,REGENCY ENTERPRISES
66634,VERTIGO PRODUCTIONS
